"","year","marital","age","race","rincome","partyid","relig","denom","tvhours"
"4322",2002,"Married",57,"White","$25000 or more","Not str republican","Catholic","Not applicable",2
"4323",2002,"Married",48,"White","$25000 or more","Independent","Catholic","Not applicable",0
"4324",2002,"Married",52,"White","$25000 or more","Independent","Protestant","Southern baptist",NA
"4325",2002,"Married",25,"White","Not applicable","Not str republican","Catholic","Not applicable",NA
"4326",2002,"Widowed",82,"White","Not applicable","Not str republican","None","Not applicable",NA
"4327",2002,"Never married",20,"White","$10000 - 14999","No answer","None","Not applicable",4
"4328",2002,"Never married",43,"Black","$3000 to 3999","Strong democrat","Protestant","Southern baptist",NA
"4329",2002,"Never married",26,"Black","$25000 or more","Ind,near dem","None","Not applicable",NA
"4330",2002,"Divorced",41,"White","Not applicable","Independent","Catholic","Not applicable",2
"4331",2002,"Married",35,"Other","$25000 or more","Not str republican","Protestant","Baptist-dk which",3
"4332",2002,"Separated",25,"White","Not applicable","No answer","None","Not applicable",NA
"4333",2002,"Never married",24,"White","Not applicable","Independent","None","Not applicable",NA
"4334",2002,"Never married",23,"White","$15000 - 19999","Ind,near dem","Catholic","Not applicable",1
"4335",2002,"Separated",32,"White","$10000 - 14999","Ind,near dem","Orthodox-christian","Not applicable",NA
"4336",2002,"Divorced",24,"Black","$25000 or more","Independent","Protestant","No denomination",NA
"4337",2002,"Married",63,"White","Refused","Not str republican","Protestant","Southern baptist",NA
"4338",2002,"Married",37,"White","$25000 or more","Ind,near dem","Protestant","Other",NA
"4339",2002,"Never married",27,"White","Not applicable","Strong democrat","Protestant","Am baptist asso",10
"4340",2002,"Divorced",27,"White","$25000 or more","Independent","None","Not applicable",2
"4341",2002,"Divorced",51,"White","Not applicable","Strong democrat","Protestant","Other",NA
"4342",2002,"Married",42,"White","$25000 or more","Independent","Protestant","Am bapt ch in usa",NA
"4343",2002,"Never married",35,"White","No answer","Independent","Catholic","Not applicable",NA
"4344",2002,"Married",54,"White","$25000 or more","Not str republican","Catholic","Not applicable",3
"4345",2002,"Married",49,"White","$20000 - 24999","Not str democrat","Catholic","Not applicable",NA
"4346",2002,"Married",40,"White","$25000 or more","Other party","None","Not applicable",NA
"4347",2002,"Married",43,"White","$25000 or more","Not str republican","Catholic","Not applicable",2
"4348",2002,"Married",42,"White","$25000 or more","Independent","Protestant","Lutheran-dk which",1
"4349",2002,"Married",62,"White","$20000 - 24999","Strong republican","Catholic","Not applicable",NA
"4350",2002,"Married",52,"White","$25000 or more","Not str republican","Protestant","Southern baptist",2
"4351",2002,"Married",42,"White","$25000 or more","Not str democrat","Catholic","Not applicable",2
"4352",2002,"Married",60,"White","$25000 or more","Strong republican","Catholic","Not applicable",NA
"4353",2002,"Married",34,"Other","$25000 or more","Not str democrat","None","Not applicable",NA
"4354",2002,"Never married",28,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"4355",2002,"Never married",65,"White","Not applicable","Strong democrat","Catholic","Not applicable",NA
"4356",2002,"Widowed",72,"White","Not applicable","Not str republican","Protestant","Lutheran-mo synod",3
"4357",2002,"Married",34,"White","Not applicable","Not str democrat","Protestant","Am baptist asso",NA
"4358",2002,"Married",36,"Other","$25000 or more","Strong republican","None","Not applicable",NA
"4359",2002,"Never married",41,"White","Refused","Independent","Catholic","Not applicable",3
"4360",2002,"Never married",31,"Black","$25000 or more","Not str democrat","Christian","Not applicable",NA
"4361",2002,"Never married",21,"White","$25000 or more","Not str republican","Protestant","Am baptist asso",NA
"4362",2002,"Never married",57,"White","$25000 or more","Independent","Catholic","Not applicable",NA
"4363",2002,"Widowed",72,"White","Not applicable","Independent","None","Not applicable",NA
"4364",2002,"Married",45,"Black","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"4365",2002,"Married",58,"White","Refused","Independent","No answer","No answer",NA
"4366",2002,"Married",34,"Black","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"4367",2002,"Separated",64,"Black","$3000 to 3999","Independent","None","Not applicable",4
"4368",2002,"Married",57,"White","Not applicable","Ind,near rep","Protestant","Other",NA
"4369",2002,"Married",42,"Black","Not applicable","Not str republican","Protestant","Am bapt ch in usa",3
"4370",2002,"Separated",55,"Black","$25000 or more","Not str democrat","Protestant","Southern baptist",NA
"4371",2002,"Never married",28,"Black","Don't know","No answer","Don't know","Not applicable",NA
"4372",2002,"Widowed",78,"White","Not applicable","Strong democrat","Protestant","Other",6
"4373",2002,"Divorced",26,"White","$25000 or more","Other party","Catholic","Not applicable",NA
"4374",2002,"Married",52,"White","$15000 - 19999","Ind,near dem","Protestant","Southern baptist",NA
"4375",2002,"Divorced",33,"White","$15000 - 19999","Other party","Protestant","Baptist-dk which",NA
"4376",2002,"Divorced",30,"White","$20000 - 24999","Not str democrat","Protestant","Lutheran-dk which",4
"4377",2002,"Married",28,"White","Not applicable","Strong republican","Protestant","Other baptists",2
"4378",2002,"Married",34,"White","$10000 - 14999","Independent","None","Not applicable",NA
"4379",2002,"Never married",27,"White","$7000 to 7999","Ind,near rep","Protestant","Other",2
"4380",2002,"Divorced",42,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
"4381",2002,"Widowed",74,"Black","Not applicable","Independent","Protestant","Am baptist asso",NA
"4382",2002,"Married",52,"Black","Not applicable","Strong democrat","Protestant","Other",NA
"4383",2002,"Divorced",37,"Black","$6000 to 6999","Strong democrat","Protestant","Am baptist asso",6
"4384",2002,"Never married",36,"Black","$20000 - 24999","Ind,near dem","Protestant","Baptist-dk which",NA
"4385",2002,"Never married",34,"Black","$6000 to 6999","Not str democrat","Protestant","Baptist-dk which",NA
"4386",2002,"Widowed",74,"Black","$10000 - 14999","Not str democrat","Protestant","Nat bapt conv usa",5
"4387",2002,"Divorced",43,"White","Not applicable","Strong democrat","Protestant","Baptist-dk which",NA
"4388",2002,"Widowed",56,"White","$8000 to 9999","Ind,near dem","None","Not applicable",NA
"4389",2002,"Never married",27,"White","$10000 - 14999","Independent","Protestant","No denomination",NA
"4390",2002,"Married",39,"White","$25000 or more","Independent","Christian","Not applicable",NA
"4391",2002,"Never married",51,"White","$25000 or more","Not str republican","Catholic","Not applicable",2
"4392",2002,"Married",34,"White","$25000 or more","Strong democrat","Catholic","Not applicable",NA
"4393",2002,"Separated",23,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
"4394",2002,"Never married",22,"White","$25000 or more","Not str republican","Catholic","Not applicable",2
"4395",2002,"Widowed",80,"White","Not applicable","Not str democrat","Protestant","Other",6
"4396",2002,"Never married",35,"White","$25000 or more","Not str democrat","Buddhism","Not applicable",NA
"4397",2002,"Divorced",39,"White","$25000 or more","Strong republican","Orthodox-christian","Not applicable",NA
"4398",2002,"Divorced",53,"Other","Not applicable","Independent","Christian","Not applicable",NA
"4399",2002,"Never married",39,"White","$25000 or more","Not str democrat","Protestant","Other",1
"4400",2002,"Separated",27,"Other","$25000 or more","Ind,near dem","Catholic","Not applicable",3
"4401",2002,"Never married",31,"White","$25000 or more","Strong democrat","Catholic","Not applicable",NA
"4402",2002,"Married",56,"White","$25000 or more","Not str republican","Protestant","United methodist",NA
"4403",2002,"Married",33,"White","$25000 or more","Not str democrat","Catholic","Not applicable",2
"4404",2002,"Never married",26,"White","$8000 to 9999","Ind,near dem","None","Not applicable",1
"4405",2002,"Divorced",32,"White","$25000 or more","Ind,near dem","None","Not applicable",NA
"4406",2002,"Never married",46,"White","$25000 or more","Independent","None","Not applicable",NA
"4407",2002,"Never married",47,"White","$25000 or more","Other party","None","Not applicable",0
"4408",2002,"Married",43,"White","$25000 or more","Strong republican","Protestant","Methodist-dk which",NA
"4409",2002,"Divorced",44,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
"4410",2002,"Never married",38,"White","$1000 to 2999","Not str democrat","Catholic","Not applicable",1
"4411",2002,"Married",56,"White","Not applicable","Ind,near rep","Catholic","Not applicable",3
"4412",2002,"Divorced",37,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"4413",2002,"Married",58,"White","$25000 or more","Strong democrat","Catholic","Not applicable",NA
"4414",2002,"Never married",30,"White","$25000 or more","Not str republican","Protestant","Presbyterian-dk wh",5
"4415",2002,"Widowed",88,"White","Not applicable","Ind,near dem","Protestant","United methodist",NA
"4416",2002,"Divorced",45,"White","$25000 or more","Strong democrat","Protestant","Presbyterian-dk wh",NA
"4417",2002,"Married",40,"White","$25000 or more","Strong republican","Protestant","United methodist",NA
"4418",2002,"Never married",19,"White","$8000 to 9999","Ind,near dem","Catholic","Not applicable",2
"4419",2002,"Married",25,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",1
"4420",2002,"Married",59,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
"4421",2002,"Married",38,"White","$25000 or more","Not str republican","Protestant","Other",NA
"4422",2002,"Never married",23,"White","Not applicable","Ind,near rep","Protestant","Other",NA
"4423",2002,"Married",31,"White","$20000 - 24999","Not str democrat","Catholic","Not applicable",NA
"4424",2002,"Married",34,"White","$25000 or more","Not str democrat","Protestant","Southern baptist",1
"4425",2002,"Married",38,"White","Not applicable","Not str republican","Protestant","Other",2
"4426",2002,"Married",76,"White","Not applicable","Not str republican","Inter-nondenominational","Not applicable",NA
"4427",2002,"Married",43,"White","Not applicable","Ind,near dem","Catholic","Not applicable",NA
"4428",2002,"Never married",53,"Black","$20000 - 24999","Not str republican","Catholic","Not applicable",2
"4429",2002,"Married",46,"White","$25000 or more","Not str republican","Catholic","Not applicable",2
"4430",2002,"Married",40,"Black","$25000 or more","Not str democrat","Protestant","Baptist-dk which",NA
"4431",2002,"Married",50,"Black","$25000 or more","Not str democrat","Protestant","Episcopal",2
"4432",2002,"Separated",34,"Black","Not applicable","Strong democrat","Christian","Not applicable",NA
"4433",2002,"Never married",23,"Black","$8000 to 9999","Independent","None","Not applicable",NA
"4434",2002,"Divorced",44,"White","$20000 - 24999","Strong democrat","None","Not applicable",NA
"4435",2002,"Married",48,"White","$15000 - 19999","Not str democrat","Catholic","Not applicable",NA
"4436",2002,"Never married",44,"White","$25000 or more","Not str republican","None","Not applicable",NA
"4437",2002,"Married",24,"White","$25000 or more","Independent","Catholic","Not applicable",NA
"4438",2002,"Married",39,"White","$25000 or more","Not str democrat","Protestant","Baptist-dk which",3
"4439",2002,"Widowed",81,"White","Not applicable","Strong democrat","Catholic","Not applicable",16
"4440",2002,"Never married",30,"White","$25000 or more","Ind,near dem","None","Not applicable",NA
"4441",2002,"Never married",33,"White","Not applicable","Ind,near rep","None","Not applicable",NA
"4442",2002,"Married",38,"White","$25000 or more","Strong democrat","None","Not applicable",NA
"4443",2002,"Widowed",67,"White","$4000 to 4999","Strong republican","Protestant","Don't know",4
"4444",2002,"Never married",25,"White","$3000 to 3999","Not str republican","Christian","Not applicable",NA
"4445",2002,"Divorced",40,"Other","$15000 - 19999","No answer","Moslem/islam","Not applicable",NA
"4446",2002,"Never married",44,"White","$25000 or more","Strong democrat","Protestant","Episcopal",NA
"4447",2002,"Married",64,"White","$25000 or more","Strong republican","Protestant","Methodist-dk which",2
"4448",2002,"Married",33,"White","Not applicable","Not str democrat","None","Not applicable",NA
"4449",2002,"Never married",35,"White","$25000 or more","Not str democrat","None","Not applicable",NA
"4450",2002,"Married",63,"Other","Not applicable","Strong democrat","Catholic","Not applicable",5
"4451",2002,"Never married",38,"White","$25000 or more","Not str republican","Protestant","Am baptist asso",NA
"4452",2002,"Never married",24,"White","Not applicable","Not str democrat","Christian","Not applicable",1
"4453",2002,"Divorced",38,"White","$25000 or more","Strong republican","Catholic","Not applicable",NA
"4454",2002,"Never married",21,"White","$20000 - 24999","Not str democrat","None","Not applicable",NA
"4455",2002,"Divorced",51,"White","$25000 or more","Not str democrat","None","Not applicable",NA
"4456",2002,"Divorced",71,"White","Not applicable","Not str republican","Protestant","United methodist",5
"4457",2002,"Never married",22,"Other","$25000 or more","Not str democrat","None","Not applicable",NA
"4458",2002,"Never married",21,"White","$7000 to 7999","Other party","None","Not applicable",8
"4459",2002,"Never married",21,"White","$1000 to 2999","Ind,near dem","None","Not applicable",NA
"4460",2002,"Married",84,"Other","$5000 to 5999","Strong republican","Catholic","Not applicable",NA
"4461",2002,"Married",30,"Other","$1000 to 2999","Strong democrat","Catholic","Not applicable",NA
"4462",2002,"Never married",21,"Other","Not applicable","Not str democrat","Protestant","Baptist-dk which",2
"4463",2002,"Married",61,"Other","$3000 to 3999","No answer","Catholic","Not applicable",2
"4464",2002,"Married",75,"Other","$15000 - 19999","No answer","Catholic","Not applicable",NA
"4465",2002,"Married",39,"White","$25000 or more","Not str democrat","None","Not applicable",NA
"4466",2002,"Married",40,"White","$15000 - 19999","Not str republican","Protestant","No denomination",2
"4467",2002,"Married",61,"White","Not applicable","Strong democrat","Catholic","Not applicable",NA
"4468",2002,"Divorced",59,"White","$25000 or more","Independent","None","Not applicable",NA
"4469",2002,"Married",40,"White","Refused","Other party","Other","Not applicable",NA
"4470",2002,"Married",41,"Other","$25000 or more","Not str democrat","Protestant","Evangelical luth",1
"4471",2002,"Married",47,"White","$20000 - 24999","Not str democrat","Protestant","Am lutheran",NA
"4472",2002,"Married",38,"White","$25000 or more","Not str democrat","None","Not applicable",NA
"4473",2002,"Married",56,"White","$25000 or more","Ind,near rep","None","Not applicable",1
"4474",2002,"Divorced",38,"White","$25000 or more","Not str republican","None","Not applicable",NA
"4475",2002,"Never married",32,"White","$25000 or more","Ind,near dem","Orthodox-christian","Not applicable",1
"4476",2002,"Divorced",62,"White","$4000 to 4999","Strong republican","Protestant","No denomination",NA
"4477",2002,"Married",74,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",1
"4478",2002,"Widowed",60,"Black","Not applicable","Independent","Protestant","Other",NA
"4479",2002,"Never married",29,"Black","$25000 or more","Not str democrat","Protestant","Am baptist asso",NA
"4480",2002,"Never married",42,"Black","$25000 or more","Not str democrat","Protestant","Baptist-dk which",NA
"4481",2002,"Never married",31,"Black","$20000 - 24999","Strong democrat","Protestant","Baptist-dk which",1
"4482",2002,"Married",65,"Black","$15000 - 19999","Not str democrat","Protestant","Baptist-dk which",NA
"4483",2002,"Divorced",81,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",NA
"4484",2002,"Married",40,"Black","$10000 - 14999","Not str democrat","Protestant","Baptist-dk which",NA
"4485",2002,"Married",43,"White","$8000 to 9999","Strong democrat","Protestant","United methodist",NA
"4486",2002,"Married",25,"White","$25000 or more","Independent","None","Not applicable",NA
"4487",2002,"Never married",33,"White","Not applicable","Not str democrat","Catholic","Not applicable",6
"4488",2002,"Married",36,"White","$25000 or more","Not str democrat","Protestant","Luth ch in america",NA
"4489",2002,"Never married",24,"White","Not applicable","Independent","Catholic","Not applicable",NA
"4490",2002,"Married",53,"White","Not applicable","Independent","Protestant","Methodist-dk which",NA
"4491",2002,"Never married",37,"White","$25000 or more","Not str democrat","Protestant","Other",NA
"4492",2002,"Married",25,"White","Refused","Strong democrat","Catholic","Not applicable",4
"4493",2002,"Married",37,"Black","$25000 or more","Independent","Protestant","Other",NA
"4494",2002,"Never married",40,"Black","$25000 or more","Strong democrat","Protestant","United methodist",NA
"4495",2002,"Married",29,"Black","Lt $1000","Independent","None","Not applicable",NA
"4496",2002,"Never married",33,"Black","$20000 - 24999","Not str democrat","Protestant","Afr meth ep zion",5
"4497",2002,"Divorced",54,"Black","$15000 - 19999","Strong democrat","Inter-nondenominational","Not applicable",3
"4498",2002,"Never married",23,"Black","Not applicable","Not str democrat","None","Not applicable",NA
"4499",2002,"Never married",24,"Black","$6000 to 6999","Strong democrat","Protestant","Baptist-dk which",NA
"4500",2002,"Never married",51,"Black","Not applicable","Independent","Protestant","Methodist-dk which",NA
"4501",2002,"Never married",36,"Black","$15000 - 19999","Ind,near rep","Protestant","Methodist-dk which",10
"4502",2002,"Never married",31,"Black","$6000 to 6999","Independent","Protestant","Baptist-dk which",4
"4503",2002,"Never married",28,"Other","$20000 - 24999","Ind,near rep","None","Not applicable",NA
"4504",2002,"Married",23,"White","$20000 - 24999","Not str democrat","Protestant","Lutheran-dk which",NA
"4505",2002,"Married",34,"White","$25000 or more","Strong democrat","None","Not applicable",3
"4506",2002,"Divorced",45,"White","Refused","Other party","Protestant","No denomination",1
"4507",2002,"Married",33,"Other","$20000 - 24999","Other party","Christian","Not applicable",NA
"4508",2002,"Never married",26,"Black","Lt $1000","Independent","Catholic","Not applicable",NA
"4509",2002,"Never married",41,"White","$25000 or more","Not str democrat","Protestant","Luth ch in america",2
"4510",2002,"Married",48,"White","$25000 or more","Independent","Catholic","Not applicable",NA
"4511",2002,"Married",51,"White","$25000 or more","Not str republican","Protestant","United methodist",NA
"4512",2002,"Married",45,"White","Not applicable","Ind,near dem","Protestant","United methodist",NA
"4513",2002,"Married",51,"Black","$25000 or more","Strong democrat","Protestant","Afr meth episcopal",NA
"4514",2002,"Married",52,"White","Don't know","Strong republican","Protestant","Southern baptist",NA
"4515",2002,"Widowed",81,"White","Not applicable","Strong republican","Protestant","Episcopal",NA
"4516",2002,"Divorced",39,"White","$10000 - 14999","Not str democrat","Catholic","Not applicable",NA
"4517",2002,"Separated",54,"Black","$25000 or more","Strong democrat","Protestant","Lutheran-dk which",NA
"4518",2002,"Widowed",64,"White","Not applicable","Ind,near rep","Protestant","Other",NA
"4519",2002,"Married",49,"Other","$25000 or more","Strong republican","Buddhism","Not applicable",2
"4520",2002,"Never married",29,"Black","$25000 or more","Ind,near dem","Buddhism","Not applicable",2
"4521",2002,"Married",33,"White","Not applicable","Independent","Catholic","Not applicable",NA
"4522",2002,"Divorced",66,"White","$1000 to 2999","Ind,near dem","None","Not applicable",NA
"4523",2002,"Married",65,"White","$15000 - 19999","Strong republican","Protestant","Presbyterian-dk wh",4
"4524",2002,"Divorced",48,"White","$25000 or more","Independent","Catholic","Not applicable",1
"4525",2002,"Married",35,"White","$25000 or more","Ind,near rep","None","Not applicable",NA
"4526",2002,"Married",47,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"4527",2002,"Married",63,"White","Not applicable","Not str republican","Protestant","Lutheran-dk which",NA
"4528",2002,"Married",69,"White","Not applicable","Other party","None","Not applicable",2
"4529",2002,"Never married",51,"White","$25000 or more","Not str republican","Protestant","Other",1
"4530",2002,"Married",32,"Other","$25000 or more","Strong democrat","Catholic","Not applicable",NA
"4531",2002,"Never married",32,"White","$25000 or more","Strong democrat","Protestant","Other",NA
"4532",2002,"Divorced",52,"White","$25000 or more","Not str republican","Christian","Not applicable",1
"4533",2002,"Divorced",30,"White","$25000 or more","Not str democrat","Protestant","Lutheran-dk which",NA
"4534",2002,"Never married",38,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"4535",2002,"Never married",19,"White","Lt $1000","Not str democrat","Catholic","Not applicable",NA
"4536",2002,"Married",64,"White","$5000 to 5999","Not str republican","Protestant","Luth ch in america",NA
"4537",2002,"Divorced",70,"White","Not applicable","Strong republican","Protestant","United methodist",NA
"4538",2002,"Married",29,"White","$25000 or more","Not str republican","Protestant","Presbyterian-dk wh",2
"4539",2002,"Never married",32,"Other","Not applicable","Independent","Catholic","Not applicable",2
"4540",2002,"Divorced",26,"Other","$25000 or more","Not str democrat","Catholic","Not applicable",2
"4541",2002,"Married",23,"Other","$10000 - 14999","Not str republican","Native american","Not applicable",NA
"4542",2002,"Divorced",47,"Other","$15000 - 19999","Not str democrat","Catholic","Not applicable",NA
"4543",2002,"Divorced",31,"White","$25000 or more","Strong democrat","Buddhism","Not applicable",NA
"4544",2002,"Never married",22,"White","$1000 to 2999","Ind,near rep","None","Not applicable",4
"4545",2002,"Never married",20,"White","Not applicable","Not str republican","None","Not applicable",2
"4546",2002,"Never married",23,"White","$10000 - 14999","Ind,near rep","None","Not applicable",NA
"4547",2002,"Never married",34,"Black","$25000 or more","Strong democrat","None","Not applicable",NA
"4548",2002,"Never married",50,"White","$10000 - 14999","Not str democrat","Catholic","Not applicable",2
"4549",2002,"Divorced",44,"Black","$25000 or more","Not str democrat","Protestant","Baptist-dk which",4
"4550",2002,"Married",29,"Black","Lt $1000","Independent","Inter-nondenominational","Not applicable",NA
"4551",2002,"Married",30,"Black","$5000 to 5999","Strong democrat","Protestant","Other",NA
"4552",2002,"Never married",37,"White","$25000 or more","Ind,near dem","None","Not applicable",0
"4553",2002,"Never married",19,"White","$3000 to 3999","Ind,near rep","None","Not applicable",NA
"4554",2002,"Never married",20,"White","$3000 to 3999","Strong democrat","None","Not applicable",NA
"4555",2002,"Never married",20,"White","Not applicable","Other party","None","Not applicable",NA
"4556",2002,"Never married",20,"White","$15000 - 19999","Independent","None","Not applicable",0
"4557",2002,"Never married",22,"White","Not applicable","Independent","None","Not applicable",NA
"4558",2002,"Never married",20,"White","$1000 to 2999","Not str democrat","None","Not applicable",NA
"4559",2002,"Married",51,"Other","$25000 or more","Strong democrat","None","Not applicable",NA
"4560",2002,"Never married",21,"White","Not applicable","Ind,near dem","None","Not applicable",0
"4561",2002,"Married",26,"White","Lt $1000","Strong democrat","None","Not applicable",NA
"4562",2002,"Never married",22,"White","Not applicable","Ind,near dem","None","Not applicable",NA
"4563",2002,"Never married",51,"White","$15000 - 19999","Independent","Protestant","No denomination",NA
"4564",2002,"Divorced",36,"Other","$10000 - 14999","Independent","Catholic","Not applicable",2
"4565",2002,"Never married",22,"Other","$5000 to 5999","Ind,near dem","None","Not applicable",2
"4566",2002,"Never married",26,"White","$20000 - 24999","Ind,near dem","Protestant","Am lutheran",NA
"4567",2002,"Never married",25,"White","$10000 - 14999","Not str democrat","Protestant","Lutheran-dk which",NA
"4568",2002,"Divorced",52,"White","$25000 or more","Strong democrat","Protestant","Luth ch in america",NA
"4569",2002,"Married",46,"Black","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"4570",2002,"Divorced",61,"White","$25000 or more","Ind,near dem","None","Not applicable",NA
"4571",2002,"Never married",25,"White","$10000 - 14999","Not str republican","Protestant","Methodist-dk which",NA
"4572",2002,"Married",73,"White","$3000 to 3999","Not str democrat","Catholic","Not applicable",NA
"4573",2002,"Never married",27,"White","$15000 - 19999","Strong republican","Catholic","Not applicable",2
"4574",2002,"Married",33,"Black","$8000 to 9999","Independent","Protestant","Baptist-dk which",3
"4575",2002,"Never married",39,"Black","$10000 - 14999","Ind,near rep","Protestant","Am bapt ch in usa",NA
"4576",2002,"Never married",41,"Black","Not applicable","Independent","Protestant","Other",NA
"4577",2002,"Never married",24,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",3
"4578",2002,"Widowed",54,"Black","Not applicable","Strong democrat","Protestant","Other",NA
"4579",2002,"Never married",27,"Black","$4000 to 4999","Independent","Protestant","No denomination",NA
"4580",2002,"Never married",44,"Black","$10000 - 14999","Not str democrat","Protestant","Am baptist asso",6
"4581",2002,"Divorced",62,"Black","Not applicable","Independent","Protestant","Other",4
"4582",2002,"Divorced",35,"White","$25000 or more","Other party","Christian","Not applicable",NA
"4583",2002,"Never married",20,"White","$1000 to 2999","Strong democrat","None","Not applicable",NA
"4584",2002,"Married",23,"White","Refused","Ind,near dem","Protestant","Baptist-dk which",NA
"4585",2002,"Never married",39,"White","$25000 or more","Ind,near rep","Protestant","Lutheran-dk which",NA
"4586",2002,"Never married",50,"White","$25000 or more","Strong republican","Catholic","Not applicable",2
"4587",2002,"Married",32,"White","$20000 - 24999","Independent","Protestant","Other",3
"4588",2002,"Divorced",44,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
"4589",2002,"Widowed",65,"White","$15000 - 19999","Ind,near rep","Catholic","Not applicable",NA
"4590",2002,"Widowed",66,"Black","Not applicable","Strong democrat","Protestant","Other",8
"4591",2002,"Divorced",38,"Black","$25000 or more","Strong democrat","Protestant","No denomination",NA
"4592",2002,"Married",54,"Other","$25000 or more","Independent","Moslem/islam","Not applicable",1
"4593",2002,"Married",44,"White","$25000 or more","Not str republican","Protestant","Nat bapt conv of am",8
"4594",2002,"Divorced",61,"White","$25000 or more","Ind,near rep","None","Not applicable",NA
"4595",2002,"Never married",48,"White","$20000 - 24999","Strong republican","Catholic","Not applicable",NA
"4596",2002,"Divorced",46,"White","$25000 or more","Strong republican","Protestant","Other",NA
"4597",2002,"Never married",23,"White","Not applicable","Not str republican","None","Not applicable",NA
"4598",2002,"Never married",24,"White","$5000 to 5999","Ind,near rep","Protestant","United methodist",NA
"4599",2002,"Married",37,"Black","Refused","Independent","No answer","No answer",NA
"4600",2002,"Married",63,"White","$6000 to 6999","Not str democrat","Protestant","United methodist",NA
"4601",2002,"Married",43,"White","$3000 to 3999","Strong republican","Protestant","Presbyterian-dk wh",NA
"4602",2002,"Married",37,"White","$25000 or more","Not str republican","None","Not applicable",2
"4603",2002,"Married",61,"White","$25000 or more","Strong republican","Protestant","Episcopal",2
"4604",2002,"Married",45,"White","Don't know","Not str republican","Protestant","Lutheran-mo synod",NA
"4605",2002,"Married",43,"White","$10000 - 14999","Strong republican","Protestant","United methodist",NA
"4606",2002,"Married",51,"White","$25000 or more","Strong republican","Protestant","Baptist-dk which",1
"4607",2002,"Divorced",45,"White","Not applicable","Strong republican","Protestant","Other",1
"4608",2002,"Married",46,"White","$25000 or more","Independent","Protestant","No denomination",NA
"4609",2002,"Divorced",56,"White","$25000 or more","Not str democrat","Protestant","Methodist-dk which",NA
"4610",2002,"Widowed",43,"White","Don't know","Independent","Protestant","No denomination",NA
"4611",2002,"Married",73,"White","Not applicable","Ind,near dem","Protestant","No denomination",3
"4612",2002,"Widowed",46,"White","Not applicable","Independent","Protestant","Other",NA
"4613",2002,"Married",51,"Other","Don't know","Not str democrat","Protestant","Other",NA
"4614",2002,"Married",44,"White","Not applicable","Independent","Protestant","No denomination",5
"4615",2002,"Married",50,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
"4616",2002,"Married",48,"White","$25000 or more","Ind,near dem","Protestant","Southern baptist",NA
"4617",2002,"Separated",24,"Black","$4000 to 4999","Independent","Protestant","Other",NA
"4618",2002,"Never married",52,"White","$25000 or more","Ind,near dem","Protestant","No denomination",4
"4619",2002,"Divorced",43,"White","Not applicable","Independent","None","Not applicable",NA
"4620",2002,"Married",38,"White","$25000 or more","Not str republican","Protestant","Episcopal",NA
"4621",2002,"Divorced",65,"White","$25000 or more","Not str democrat","Catholic","Not applicable",0
"4622",2002,"Married",33,"White","$25000 or more","Strong republican","Protestant","Episcopal",NA
"4623",2002,"Divorced",57,"White","$25000 or more","Ind,near dem","Protestant","Episcopal",2
"4624",2002,"Divorced",33,"White","$25000 or more","Not str democrat","None","Not applicable",NA
"4625",2002,"Never married",24,"White","No answer","Independent","None","Not applicable",NA
"4626",2002,"Married",52,"White","$20000 - 24999","Ind,near rep","Christian","Not applicable",NA
"4627",2002,"Married",32,"White","$25000 or more","Not str republican","Protestant","No denomination",3
"4628",2002,"Married",84,"White","Not applicable","Independent","Protestant","Presbyterian-dk wh",NA
"4629",2002,"Widowed",74,"White","Not applicable","Not str democrat","Protestant","No answer",NA
"4630",2002,"Widowed",71,"White","$8000 to 9999","Independent","Protestant","Southern baptist",3
"4631",2002,"Widowed",81,"White","Not applicable","Not str democrat","Protestant","Wi evan luth synod",NA
"4632",2002,"Never married",28,"White","$20000 - 24999","Not str democrat","Protestant","No denomination",NA
"4633",2002,"Never married",41,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",NA
"4634",2002,"Married",53,"White","$25000 or more","Not str republican","Protestant","Baptist-dk which",NA
"4635",2002,"Divorced",44,"Black","$25000 or more","Strong democrat","Protestant","Southern baptist",NA
"4636",2002,"Married",44,"White","Not applicable","Not str republican","Catholic","Not applicable",1
"4637",2002,"Married",54,"White","$5000 to 5999","Ind,near rep","None","Not applicable",NA
"4638",2002,"Married",56,"White","$25000 or more","Strong republican","Catholic","Not applicable",2
